age_group,year,sex,edu_H,edu_M,edu_L
17,2038,M,0.01319310966255566,0.20628749727174242,0.780519393065702
22,2038,M,0.1228816788887894,0.744694160344178,0.13242416076703256
27,2038,M,0.3367142881377527,0.5404117262017348,0.12287398566051243
32,2038,M,0.3496702681892143,0.5176330123748699,0.13269671943591568
37,2038,M,0.323005579772472,0.5336349752013172,0.14335944502621076
42,2038,M,0.28578236123907647,0.5585804212337441,0.15563721752717952
47,2038,M,0.25411737869361567,0.5725022524447607,0.17338036886162372
52,2038,M,0.22881777382647872,0.5694719598922922,0.20171026628122907
57,2038,M,0.20871719488058274,0.551205913909901,0.2400768912095161
62,2038,M,0.19037980779970462,0.5201149307528405,0.28950526144745486
67,2038,M,0.17680809732370628,0.474220896974146,0.3489710057021478
72,2038,M,0.17680809732370628,0.474220896974146,0.3489710057021478
77,2038,M,0.17680809732370628,0.474220896974146,0.3489710057021478
82,2038,M,0.17680809732370628,0.474220896974146,0.3489710057021478
87,2038,M,0.17680809732370628,0.474220896974146,0.3489710057021478
17,2039,F,0.01429356282554654,0.18147284324554108,0.8042335939289124
22,2039,F,0.14639404267607561,0.7065767852230266,0.14702917210089775
27,2039,F,0.3865198436603108,0.4846504289019033,0.12882972743778595
32,2039,F,0.40506932932329026,0.4578602610735801,0.1370704096031296
37,2039,F,0.38270776800958756,0.4700226394978058,0.14726959249260668
42,2039,F,0.3490046961271013,0.4915106052814711,0.1594846985914277
47,2039,F,0.32022622047382937,0.5027491976824,0.1770245818437705
52,2039,F,0.296973836992426,0.49818781690842956,0.2048383460991444
57,2039,F,0.277015185434339,0.48040315714827264,0.24258165741738835
62,2039,F,0.25799378118392297,0.451198084922979,0.29080813389309806
67,2039,F,0.23956007534651752,0.41059826883821965,0.3498416558152628
72,2039,F,0.23956007534651752,0.41059826883821965,0.3498416558152628
77,2039,F,0.23956007534651752,0.41059826883821965,0.3498416558152628
82,2039,F,0.23956007534651752,0.41059826883821965,0.3498416558152628
87,2039,F,0.23956007534651752,0.41059826883821965,0.3498416558152628
17,2039,M,0.013323509496591984,0.20633575217269173,0.7803407383307163
22,2039,M,0.12411736245864478,0.7437063556720854,0.1321762818692698
