age_group,year,sex,edu,l_active,l_not_active
52,2065,F,L,0.612406703443277,0.38759329655672303
57,2065,F,L,0.4560533894243196,0.5439466105756804
62,2065,F,L,0.19784413704558054,0.8021558629544194
67,2065,F,L,0.06681829360951849,0.9331817063904815
72,2065,F,L,0.04753468311829257,0.9524653168817074
77,2065,F,L,0.01,0.99
82,2065,F,L,0.01,0.99
87,2065,F,L,0.01,0.99
17,2065,F,M,0.25587023205398096,0.744129767946019
22,2065,F,M,0.5621797877584955,0.43782021224150447
27,2065,F,M,0.7385823763564583,0.2614176236435417
32,2065,F,M,0.7822313104653149,0.2177686895346851
37,2065,F,M,0.798819998832793,0.20118000116720702
42,2065,F,M,0.8047162107745593,0.19528378922544065
47,2065,F,M,0.7913213102196801,0.2086786897803199
52,2065,F,M,0.7404794471269974,0.2595205528730026
57,2065,F,M,0.6022336539584263,0.3977663460415737
62,2065,F,M,0.30814595909966785,0.6918540409003322
67,2065,F,M,0.11449762229959963,0.8855023777004004
72,2065,F,M,0.08267290994696913,0.9173270900530308
77,2065,F,M,0.01,0.99
82,2065,F,M,0.01,0.99
87,2065,F,M,0.01,0.99
17,2065,M,H,0.8230906569150314,0.17690934308496864
22,2065,M,H,0.8230906569150314,0.17690934308496864
27,2065,M,H,0.9110099295708529,0.08899007042914708
32,2065,M,H,0.9286498709705748,0.07135012902942517
37,2065,M,H,0.935011663075988,0.06498833692401196
42,2065,M,H,0.9372299980872124,0.06277000191278759
47,2065,M,H,0.9321581971015275,0.06784180289847253
52,2065,M,H,0.9118051348334999,0.0881948651665001
57,2065,M,H,0.8458213688017235,0.15417863119827646
62,2065,M,H,0.6174205692186527,0.38257943078134726
67,2065,M,H,0.31904034204020804,0.680959657959792
72,2065,M,H,0.2461677689644466,0.7538322310355534
77,2065,M,H,0.01,0.99
82,2065,M,H,0.01,0.99
87,2065,M,H,0.01,0.99
17,2065,M,L,0.27924033675344484,0.7207596632465552
22,2065,M,L,0.5912959787384722,0.40870402126152783
27,2065,M,L,0.7609555704228279,0.2390444295771721
32,2065,M,L,0.8018709607610636,0.19812903923893643
37,2065,M,L,0.8173129844348385,0.18268701556516154
42,2065,M,L,0.8227874390996772,0.17721256090032278
47,2065,M,L,0.8103399376879402,0.18966006231205979
52,2065,M,L,0.7627424373044345,0.23725756269556553
57,2065,M,L,0.6304371985253696,0.3695628014746304
62,2065,M,L,0.3341466845151293,0.6658533154848707
67,2065,M,L,0.12716190458638607,0.8728380954136139
72,2065,M,L,0.09218359222623379,0.9078164077737663
77,2065,M,L,0.01,0.99
82,2065,M,L,0.01,0.99
87,2065,M,L,0.01,0.99
17,2065,M,M,0.4116348814538045,0.5883651185461956
22,2065,M,M,0.7231913598572643,0.27680864014273565
27,2065,M,M,0.85182000081668785,0.14817999918331215
32,2065,M,M,0.8796427142633071,0.12035728573669291
37,2065,M,M,0.8898558648193935,0.1101441351806065
42,2065,M,M,0.8934398998882795,0.10656010011172046
47,2065,M,M,0.8852630244169465,0.11473697558305351
52,2065,M,M,0.8530588094455623,0.14694119055443766
57,2065,M,M,0.7549362276696914,0.24506377233030863
